Frequency (Hz) - Voltage (Power Spectrum),Amplitude - Voltage (Power Spectrum)
70.7,-80.420373
70.8,-81.669401
70.9,-80.543519
71,-81.724514
71.1,-81.543833
71.2,-80.656896
71.3,-81.367253
71.4,-80.474782
71.5,-81.668165
71.6,-80.565275
71.7,-81.215471
71.8,-83.705951
71.9,-81.083141
72,-79.885318
72.1,-82.544721
72.2,-81.627264
72.3,-81.170497
72.4,-82.21111
72.5,-81.121269
72.6,-81.638982
72.7,-81.928117
72.8,-81.498365
72.9,-81.447832
73,-82.253777
73.1,-81.515903
73.2,-82.227342
73.3,-81.012611
73.4,-81.858189
73.5,-81.437987
73.6,-81.995032
73.7,-82.350713
73.8,-81.010514
73.9,-83.710514
74,-81.627176
74.1,-80.973341
74.2,-82.409833
74.3,-83.131243
74.4,-81.186983
74.5,-81.957652
74.6,-81.593849
74.7,-82.675592
74.8,-82.871599
74.9,-83.731663
75,-82.441053
75.1,-82.886136
75.2,-81.612276
75.3,-81.166206
75.4,-83.048499
75.5,-81.05813
75.6,-82.748462
75.7,-82.976646
75.8,-82.378996
75.9,-80.813187
76,-82.2878
76.1,-81.87935
76.2,-83.153138
76.3,-83.937907
76.4,-82.557936
76.5,-81.606046
76.6,-83.45717
76.7,-82.363581
76.8,-81.486362
76.9,-83.147684
77,-82.820562
77.1,-81.498413
77.2,-81.477555
77.3,-81.951336
77.4,-81.529872
77.5,-83.905851
77.6,-82.737394
77.7,-83.059474
77.8,-82.037423
77.9,-83.961604
78,-82.733975
78.1,-82.316725
78.2,-81.466662
78.3,-82.717183
78.4,-82.625497
78.5,-82.461881
78.6,-83.682604
78.7,-85.40765
78.8,-81.808651
78.9,-83.109431
79,-82.347741
79.1,-82.310911
79.2,-82.935558
79.3,-82.653783
79.4,-83.289548
79.5,-83.149941
79.6,-82.00759
79.7,-82.565339
79.8,-82.743305
79.9,-84.359739
80,-81.556122
80.1,-84.90215
80.2,-81.620362
80.3,-83.486512
80.4,-84.950758
80.5,-82.585879
80.6,-82.940185
80.7,-83.370122
80.8,-84.379042
80.9,-85.655208
81,-84.176282
81.1,-83.578
81.2,-83.708538
81.3,-84.595919
81.4,-87.165502
81.5,-82.953981
81.6,-83.054939
81.7,-85.433812
81.8,-81.970318
81.9,-83.592084
82,-85.16211
82.1,-83.858215
82.2,-85.062332
82.3,-82.833046
82.4,-84.064402
82.5,-86.425996
82.6,-84.98646
82.7,-86.811501
82.8,-83.883314
82.9,-84.807628
83,-84.739493
83.1,-86.135954
83.2,-85.175508
83.3,-85.003304
83.4,-83.188961
83.5,-83.985036
83.6,-84.041207
83.7,-84.405466
83.8,-84.102163
83.9,-85.024019
84,-84.494729
84.1,-86.195098
84.2,-84.470065
84.3,-85.00211
84.4,-84.615048
84.5,-85.629707
84.6,-84.929095
84.7,-83.11505
84.8,-82.352597
84.9,-84.9541
85,-85.097557
85.1,-84.599014
85.2,-84.201708
85.3,-86.07704
85.4,-85.700002
85.5,-86.227496
85.6,-84.787273
85.7,-84.235362
85.8,-83.884965
85.9,-84.636699
86,-85.281787
86.1,-85.223053
86.2,-85.264451
86.3,-86.878665
86.4,-82.45043
86.5,-81.705902
86.6,-85.42979
86.7,-91.544181
86.8,-84.95657
86.9,-84.290894
87,-84.883105
87.1,-82.634087
87.2,-86.393397
87.3,-85.064163
87.4,-84.793125
87.5,-83.541021
87.6,-84.51833
87.7,-85.998166
87.8,-85.309824
87.9,-82.595694
88,-86.695979
88.1,-84.300924
88.2,-83.229429
88.3,-86.151296
88.4,-84.897672
88.5,-85.399325
88.6,-82.921118
88.7,-83.259803
88.8,-85.473607
88.9,-83.580831
89,-85.145917
89.1,-85.854301
89.2,-83.319676
89.3,-85.261184
89.4,-82.551236
89.5,-85.987642
89.6,-82.086276
89.7,-85.123782
89.8,-87.277667
89.9,-85.712698
90,-84.576267
90.1,-84.948867
90.2,-83.848028
90.3,-85.686735
90.4,-86.9555
90.5,-85.336015
90.6,-83.975116
90.7,-86.842103
90.8,-84.727632
90.9,-85.335888
91,-85.89485
91.1,-86.891732
91.2,-84.718566
91.3,-84.544516
91.4,-85.147884
91.5,-84.541278
91.6,-88.268112
91.7,-84.142213
91.8,-84.828252
91.9,-86.473459
92,-85.445861
92.1,-84.42911
92.2,-84.867766
92.3,-82.812974
92.4,-84.663176
92.5,-86.0353
92.6,-84.651923
92.7,-89.710902
92.8,-87.601076
